ix,iy,alon,alat,JAN00Z,JAN03Z,JAN06Z,JAN09Z,JAN12Z,JAN15Z,JAN18Z,JAN21Z,FEB00Z,FEB03Z,FEB06Z,FEB09Z,FEB12Z,FEB15Z,FEB18Z,FEB21Z,MAR00Z,MAR03Z,MAR06Z,MAR09Z,MAR12Z,MAR15Z,MAR18Z,MAR21Z,APR00Z,APR03Z,APR06Z,APR09Z,APR12Z,APR15Z,APR18Z,APR21Z,MAY00Z,MAY03Z,MAY06Z,MAY09Z,MAY12Z,MAY15Z,MAY18Z,MAY21Z,JUN00Z,JUN03Z,JUN06Z,JUN09Z,JUN12Z,JUN15Z,JUN18Z,JUN21Z,JUL00Z,JUL03Z,JUL06Z,JUL09Z,JUL12Z,JUL15Z,JUL18Z,JUL21Z,AUG00Z,AUG03Z,AUG06Z,AUG09Z,AUG12Z,AUG15Z,AUG18Z,AUG21Z,SEP00Z,SEP03Z,SEP06Z,SEP09Z,SEP12Z,SEP15Z,SEP18Z,SEP21Z,OCT00Z,OCT03Z,OCT06Z,OCT09Z,OCT12Z,OCT15Z,OCT18Z,OCT21Z,NOV00Z,NOV03Z,NOV06Z,NOV09Z,NOV12Z,NOV15Z,NOV18Z,NOV21Z,DEC00Z,DEC03Z,DEC06Z,DEC09Z,DEC12Z,DEC15Z,DEC18Z,DEC21Z
91,69,67.5,39,80.647,80.35,72.261,63.125,70.073,81.409,84.197,83.862,84.032,84.29,70.113,57.128,63.554,80.006,88.284,87.813,89.238,89.11,66.528,56.279,57.11,78.397,88.6,89.364,91.466,86.1,65.638,61.691,64.496,79.045,88.829,91.508,85.535,68.657,47.88,48.711,46.228,58.235,75.199,83.997,86.131,65.379,48.757,48.954,46.479,55.214,72.356,82.901,75.814,59.992,38.414,34.715,34.71,43.162,59.724,70.259,70.026,59.89,38.845,33.745,32.859,40.226,52.744,62.712,71.659,65.879,37.842,33.091,34.843,45.958,57.517,67.244,79.559,77.681,43.295,39.094,41.452,56.856,68.952,76.885,88.473,87.691,55.678,46.38,56.216,73.898,85.199,88.829,75.82,75.407,64.301,51.166,62.354,78.196,80.744,78.737
92,69,68.25,39,83.424,84.867,79.245,71.107,81.073,88.781,87.044,88.009,83.592,85.83,75.398,64.091,68.263,86.96,91.145,89.541,89.928,88.659,71.611,61.137,65.366,86.182,93.026,90.637,91.978,85.183,69.721,66.858,67.423,86.984,92.913,94.521,90.586,70.294,53.948,53.48,48.451,65.53,84.01,90.537,91.364,68.564,55.69,57.349,51.1,62.052,82.229,90.962,86.768,65.662,47.313,45.954,45.386,54.73,75.038,85.305,85.926,69.58,47.878,44.27,43.284,53.137,69.392,80.746,79.752,72.844,44.453,39.647,39.987,51.573,64.427,76.527,87.294,83.935,52.644,47.743,49.175,68.267,81.816,87.415,90.884,89.764,65.671,52.625,64.63,86.562,91.353,92.374,82.079,79.513,71.856,60.513,74.689,87.989,87.212,83.409
93,69,69,39,83.135,85.028,79.555,68.846,76.136,86.637,85.267,84.657,83.933,87.293,74.541,61.446,65.096,83.849,88.292,87.468,86.929,87.43,70.559,60.746,66.195,85.981,92.226,91.187,91.015,84.469,70.596,66.155,69.154,89.041,94.301,93.129,88.948,69.165,51.979,52.466,45.847,60.785,78.434,86.195,87.154,66.155,52.406,54.87,45.549,56.892,75.259,85,86.124,66.168,46.497,45.911,45.823,55.06,74.108,85.141,86.92,72.221,49.588,48.02,46.608,56.363,71.967,82.819,77.92,74.525,45.333,41.642,41.501,53.097,64.533,75.368,86.166,84.545,54.989,49.712,50.771,67.54,79.522,85.99,91.536,90.434,69.686,55.478,66.047,88.129,91.097,91.607,81.343,80.2,68.858,54.943,68.599,82.341,84.975,83.685
94,69,69.75,39,81.281,80.344,71.622,63.786,69.067,84.105,84.58,83.267,85.077,85.124,69.618,56.299,61.808,80.731,86.851,87.22,89.295,87.199,65.634,55.584,60.05,80.918,90.88,92.519,91.47,85.431,68.027,64.939,69.836,87.21,93.704,92.979,87.831,69.295,47.025,49.434,43.629,55.944,74.799,83.614,85.784,67.538,49.922,50.806,44.148,54.452,70.787,81.482,82.09,65.121,42.288,41.077,39.846,49.679,67.22,78.627,75.414,63.954,43.129,40.107,39.362,48.214,61.4,70.196,64.31,62.153,38.063,34.198,35.873,46.599,55.409,62.166,78.563,76.207,51.288,45.211,45.684,59.797,70.294,76.629,86.725,84.861,61.978,52.072,58.637,78.238,85.039,85.972,73.191,71.755,53.224,43.786,55.436,70.338,75.847,77.089
95,69,70.5,39,79.166,77.244,66.592,60.155,69.061,84.233,86.851,85.446,85.923,83.623,67.892,56.321,62.221,80.509,87.841,88.719,93.308,86.737,61.428,49.663,54.6,75.721,91.879,94.097,93.578,86.905,68.453,64.666,68.663,88.759,95.032,95.112,91.015,74.841,52.222,52.402,47.653,64.275,82.573,89.486,88.118,69.52,51.009,54.373,45.673,56.079,72.809,83.192,82.118,63.636,43.405,42.002,39.753,50.424,66.814,78.176,69.001,57.135,38.166,33.888,32.569,43.607,55.086,62.98,58.414,53.358,32.847,29.221,30.965,41.43,50.408,56.308,80.439,77.107,51.496,44.911,45.618,59.767,71.73,76.985,89.234,84.847,63.501,53.886,61.7,82.121,90.918,88.88,73.622,68.754,51.443,46.778,58.067,74.393,80.172,79.4
96,69,71.25,39,76.075,76.561,67.198,60.936,65.55,79.942,84.829,83.523,87.349,85.51,72.099,60.469,61.746,77.878,87.514,87.702,91.51,86.75,65.95,51.566,53.224,75.9,93.052,93.974,95.056,85.996,72.822,66.157,67.2,89.285,96.119,94.694,94.181,78.3,61.499,57.661,51.854,71.363,86.71,92.31,92.581,72.106,55.615,59.932,46.115,59.572,76.348,87.66,85.705,63.327,47.803,46.607,42.97,53.318,70.601,83.747,71.038,55.981,38.341,35.817,31.692,41.556,52.939,63.784,56.925,52.483,31.913,28.132,28.18,38.637,47.878,55.552,81.926,77.584,53.645,46.692,46.424,60.732,73.063,79.816,91.826,86.125,71.372,59.945,67.673,86.75,96.179,92.066,76.943,73.544,65.613,55.181,62.748,80.008,89.218,85.925
97,69,72,39,81.137,82.841,78.386,74.287,68.046,82.324,86.43,87.654,91.426,90.608,78.642,68.265,66.787,82.982,93.447,92.356,92.517,89.267,74.336,59.7,59.212,83.027,96.576,96.665,95.09,85.294,73.308,68.391,65.777,86.549,95.039,95.556,95.984,80.582,68.537,64.018,58.472,78.381,91.779,95.511,98.59,79.703,65.609,62.458,48.742,64.865,81.711,94.146,91.938,69.167,53.873,52.474,45.167,56.836,78.441,91.403,80.37,59.203,40.425,36.58,31.939,42.683,58.726,72.457,60.401,53.601,31.521,28.032,27.76,39.914,51.977,61.172,78.39,71.719,53.789,46.473,44.254,61.252,74.38,82.081,89.766,85.95,75.012,65.032,71.049,85.851,94.347,91.994,78.941,80.059,76.169,65.371,68.336,83.796,92.182,87.87
98,69,72.75,39,87.245,88.778,87.024,82.708,74.528,87.508,90.392,91.139,93.847,94.59,83.407,74.954,74.254,90.555,99.898,98.661,93.954,91.598,77.813,65.211,61.265,82.344,96.426,99.787,94.258,88.19,75.009,69.781,64.502,85.108,94.995,98.073,95.269,82.701,73.871,69.805,65.057,83.87,95.003,97.619,97.33,80.291,70,65.552,49.262,64.615,82.083,92.049,95.629,75.99,60.706,59.104,51.137,64.456,85.546,95.027,89.83,67.912,47.509,40.444,36.617,53.571,73.085,85.311,71.456,57.557,32.649,31.351,29.314,43.985,62.001,72.674,80.306,74.64,50.916,44.586,43.331,62.385,78.534,86.421,93.982,90.308,75.869,65.883,72.331,88.253,97.22,96.502,86.036,87.979,83.291,76.26,75.073,91.459,95.092,91.552
99,69,73.5,39,84.575,86.39,81.205,74.3,69.034,79.115,83.767,83.667,90.363,91.806,84.587,72.313,67.355,80.666,90.286,93.384,86.23,88.59,78.53,64.445,51.858,67.41,82.83,91.112,89.092,85.477,75.493,66.462,58.697,74.795,87.786,92.951,89.817,76.494,63.466,58.671,54.547,68.69,80.426,87.965,89.687,72.433,61.875,63.662,48.789,63.291,77.383,84.65,89.707,72.839,59.859,57.749,52.987,63.846,78.245,87.126,89.004,73.538,54.808,48.227,43.752,59.727,75.776,86.096,70.818,59.813,35.159,32.114,28.642,42.878,60.111,70.364,76.116,72.663,44.855,38.979,39.903,55.895,72.009,80.468,92.182,88.412,69.914,58.171,61.168,77.325,89.079,92.542,85.21,85.375,84.768,73.496,66.624,83.051,88.78,89.585
100,69,74.25,39,82.176,83.236,77.878,67.982,63.835,71.474,77.294,80.565,84.933,85.601,76.742,62.164,53.891,64.61,75.274,84.496,76.713,79.433,70.846,56.805,44.597,55.944,68.058,77.865,77.058,73.642,62.082,55.661,48.349,56.545,70.223,79.307,77.199,65.057,44.63,40.959,37.68,46.946,60.178,71.876,79.63,65.297,52.7,54.494,48.17,60.633,70.163,77.336,78.26,63.894,51.712,48.38,46.291,52.95,63.521,73.22,84.028,72.855,54.921,48.367,45.328,57.04,69.845,78.572,66.842,63.41,38.564,31.301,31.159,44.597,56.514,64.401,66.946,64.149,43.008,35.663,37.064,50.713,63.008,69.768,82.034,80.109,58.695,48.757,49.336,61.035,71.88,81.555,76.066,74.59,68.407,57.311,49.818,60.335,71.562,78.291
101,69,75,39,72.645,71.24,71.976,63.293,63.457,70.174,73.025,74.762,72.482,71.412,58.076,52.196,48.917,57.908,65.954,73.107,61.475,59.698,50.072,44.829,40.19,49.489,57.09,63.932,62.036,61.928,47.279,45.346,42.522,48.366,56.112,63.556,59.406,54.772,40.044,39.136,35.26,41.375,49.498,56.837,63.738,56.651,48.923,47.324,43.194,49.748,57.868,63.059,61.358,53,43.346,40,38.611,41.978,49.538,56.576,74.156,67.156,51.425,45.24,44.473,54.943,65.09,69.763,70.515,68.409,45.765,38.787,43.037,55.626,62.814,68.268,66.477,66.314,49.502,42.957,45.496,57.568,65.096,68.226,71.067,67.768,49.041,45.469,49.239,58.308,64.617,71.794,63.273,61.687,44.533,38.714,38.297,46.117,55.963,62.589
102,69,75.75,39,57.749,55.018,55.91,51.612,56.956,62.661,62.703,60.608,53.628,51.447,43.004,44.334,45.52,51.895,54.633,55.471,38.509,36.843,30.845,31.701,29.677,34.463,38.628,42.188,49.036,50.234,39.512,37.32,36.977,42.913,46.751,49.938,45.923,44.303,36.924,36.672,34.67,38.533,41.706,44.636,46.866,43.993,39.525,37.265,35.762,37.141,42.497,45.547,36.085,33.108,28.835,26.874,24.883,25.288,28.211,32.816,52.386,49.233,39.967,37.638,36.812,42.234,47.686,50.631,60.756,59.833,46.546,42.29,46.117,53.451,56.722,60.567,59.764,62.54,49.597,46.59,49.657,56.235,60.007,61.318,53.769,50.09,41.803,42.559,46.959,53.427,55.842,56.525,45.143,42.652,30.752,28.814,35.245,42.942,45.869,46.51
103,69,76.5,39,59.506,58.684,47.608,42.67,49.814,55.184,56.921,57.402,47.615,46.979,37.508,35.218,37.273,43.529,45.642,46.747,29.612,30.236,21.449,19.355,18.192,20.314,24.614,29.283,40.847,38.107,28.622,25.476,25.263,30.503,36.399,41.141,40.487,34.558,23.648,21.257,22.55,26.879,32.187,36.816,39.594,32.454,24.349,21.465,24.736,27.54,31.542,36.157,25.732,20.705,15.603,13.552,12.261,14.091,17.417,22.238,40.369,35.842,26.366,24.094,24.148,27.948,33.214,37.817,49.876,48.4,35.066,31.628,31.935,36.957,43.328,47.911,51.191,53.018,38.467,35.358,36.82,41.841,46.831,50.225,49.336,49.646,38.137,35.433,39.629,45.752,48.93,50.788,48.428,45.058,30.49,30.996,39.49,45.726,47.103,47.993
104,69,77.25,39,68.844,70.817,47.337,39.538,46.161,52.525,56.638,60.527,52.384,53.042,32.858,27.27,29.804,38.438,44.455,48.146,31.579,31.853,16.807,13.216,12.584,16.811,22.822,28.768,37.901,33.404,21.861,17.859,18.199,24.583,31.574,37.835,38.465,28.62,15.879,12.147,11.947,18.144,25.708,31.798,42.027,29.645,20.06,16.097,16.646,23.485,30.399,36.357,35.468,26.245,16.648,13.78,13.696,19.49,25.37,30.574,46.124,40.442,25.666,20.983,22.099,30.103,37.452,42.46,54.799,49.248,28.744,24.115,23.869,32.092,42.444,48.746,56.326,55.893,32.828,26.696,27.719,36.129,44.966,51.886,60.257,62.178,36.399,29.814,35.395,44.926,52.39,57.575,68.047,69.622,38.48,33.146,40.445,48.868,54.233,60.292
105,69,78,39,73.63,76.567,49.504,39.908,44.351,51.613,57.148,63.479,50.744,51.253,30.383,25.664,27.124,35.689,42.418,46.188,26.676,27.045,15.286,12.639,11.503,15.083,19.478,23.578,36.962,33.784,23.648,18.656,18.342,24.945,31.506,36.597,35.95,26.974,16.643,13.453,11.375,16.265,22.676,28.16,44.592,33.513,24.442,20.228,18.376,23.834,31.27,37.57,34.549,25.847,17.54,14.844,14.135,18.108,23.43,28.563,45.076,39.156,26.101,21.885,21.898,27.663,34.421,40.062,53.5,47.162,29.533,23.909,23.591,30.242,38.467,45.918,55.23,54.465,32.416,26.05,26.547,33.415,41.994,50.223,58.156,58.955,33.4,28.097,31.619,40.508,48.835,54.852,68.199,73.136,41.755,31.621,36.646,46.828,53.568,59.694
106,69,78.75,39,78.05,81.422,52.01,40.787,43.637,51.301,58.743,67.646,46.481,48.046,30.715,25.814,26.145,32.669,37.415,41.529,22.864,23.206,14.73,11.473,10.651,12.805,16.034,19.525,34.765,31.709,22.588,17.894,16.351,21.357,28.094,33.179,31.902,26.183,16.688,13.136,11.72,14.254,19.447,24.773,44.555,35.788,25.266,20.512,18.837,21.699,28.739,36.275,25.622,19.715,13.691,10.845,9.957,10.531,14.92,19.68,37.817,31.393,21.863,17.014,16.458,18.265,24.689,31.334,45.953,40.292,26.13,20.482,18.321,21.776,29.157,37.413,46.457,45.469,28.463,22.468,21.359,25.611,31.999,39.934,50.978,51.376,31.051,26.583,27.761,34.297,41.015,47.807,63.618,66.181,38.051,31.102,34.732,43.141,50.141,56.432
107,69,79.5,39,76.695,80.706,49.105,39.094,41.49,48.479,55.882,64.321,46.603,48.914,29.765,24.282,24.43,29.752,34.509,39.932,23.038,22.325,13.753,10.993,10.308,12.975,16.17,19.858,32.136,28.488,19.753,15.565,13.925,18.066,24.07,29.424,28.974,24.234,15.525,11.948,10.598,12.942,17.088,21.956,45.419,36.577,25.65,20.305,18.17,21.533,29.646,37.245,25.573,20.712,14.237,11.594,11.322,12.359,15.978,20.093,37.364,32.49,22.59,17.618,17.277,20.219,25.922,31.546,44.276,38.553,23.858,18.347,17.295,21.715,28.742,35.89,44.594,43.196,27.011,20.526,19.711,24.6,30.529,37.393,49.294,49.865,30.132,25.635,26.771,32.805,38.485,44.658,65.066,68.161,36.904,30.138,32.98,40.056,47.149,55.415
