ix,iy,alon,alat,JAN00Z,JAN03Z,JAN06Z,JAN09Z,JAN12Z,JAN15Z,JAN18Z,JAN21Z,FEB00Z,FEB03Z,FEB06Z,FEB09Z,FEB12Z,FEB15Z,FEB18Z,FEB21Z,MAR00Z,MAR03Z,MAR06Z,MAR09Z,MAR12Z,MAR15Z,MAR18Z,MAR21Z,APR00Z,APR03Z,APR06Z,APR09Z,APR12Z,APR15Z,APR18Z,APR21Z,MAY00Z,MAY03Z,MAY06Z,MAY09Z,MAY12Z,MAY15Z,MAY18Z,MAY21Z,JUN00Z,JUN03Z,JUN06Z,JUN09Z,JUN12Z,JUN15Z,JUN18Z,JUN21Z,JUL00Z,JUL03Z,JUL06Z,JUL09Z,JUL12Z,JUL15Z,JUL18Z,JUL21Z,AUG00Z,AUG03Z,AUG06Z,AUG09Z,AUG12Z,AUG15Z,AUG18Z,AUG21Z,SEP00Z,SEP03Z,SEP06Z,SEP09Z,SEP12Z,SEP15Z,SEP18Z,SEP21Z,OCT00Z,OCT03Z,OCT06Z,OCT09Z,OCT12Z,OCT15Z,OCT18Z,OCT21Z,NOV00Z,NOV03Z,NOV06Z,NOV09Z,NOV12Z,NOV15Z,NOV18Z,NOV21Z,DEC00Z,DEC03Z,DEC06Z,DEC09Z,DEC12Z,DEC15Z,DEC18Z,DEC21Z
91,69,67.5,39,8.607,5.632,3.719,2.869,4.392,6.836,9.457,11.299,8.182,4.852,3.294,2.763,3.861,6.623,8.5,9.988,4.144,2.763,1.983,1.558,2.515,5.029,6.517,5.065,4.179,1.842,0.956,0.886,1.098,4.498,6.092,5.596,4.746,1.594,0.992,0.921,1.098,3.542,7.65,7.757,8.819,2.692,1.311,1.133,1.24,3.471,10.13,12.857,9.103,2.834,1.311,1.133,1.24,2.798,8.748,11.582,9.917,3.436,1.452,1.24,1.311,3.046,8.217,11.263,11.582,4.711,1.558,1.275,1.452,4.569,9.563,13.14,11.228,5.95,1.523,1.24,1.7,6.446,11.724,14.592,8.819,5.525,2.054,1.452,2.975,7.155,10.519,12.078,6.977,3.896,2.656,1.913,3.79,6.552,9.173,11.263
92,69,68.25,39,6.517,4.569,2.869,2.621,4.144,5.986,7.155,7.828,5.348,3.967,2.763,2.302,3.294,4.498,4.746,5.88,1.452,1.063,1.24,1.204,2.161,3.436,2.444,1.842,2.267,1.311,1.275,1.098,1.665,4.109,3.896,2.373,1.806,1.027,0.779,0.708,0.921,2.231,5.136,3.79,2.975,1.452,1.063,0.956,1.063,2.302,6.34,5.95,2.621,1.204,1.063,0.992,1.063,2.054,5.171,4.286,3.046,1.452,1.063,0.956,0.992,2.408,5.242,5.029,5.029,2.231,1.204,1.027,1.133,2.975,6.305,8.359,5.348,2.267,1.098,0.956,1.275,4.569,7.65,7.155,6.765,4.073,1.806,1.346,2.692,5.561,7.969,8.996,6.127,3.896,2.302,1.948,3.577,4.852,6.8,8.536
93,69,69,39,4.463,3.294,2.125,1.452,2.692,4.534,5.454,6.34,3.967,2.692,1.665,1.204,2.019,3.294,3.754,4.392,1.629,0.886,0.815,0.744,1.275,2.798,2.267,2.125,2.019,1.027,0.673,0.638,0.921,2.692,3.259,2.904,1.983,0.886,0.638,0.567,0.708,1.877,3.825,3.648,2.55,1.204,0.886,0.779,0.921,1.913,4.179,4.569,2.196,1.133,0.85,0.779,0.886,1.913,4.109,4.215,2.621,1.275,0.886,0.779,0.815,2.09,4.073,4.711,3.861,1.771,1.027,0.886,0.956,2.444,4.782,6.057,3.294,1.629,0.85,0.779,1.063,3.152,5.065,5.242,4.038,2.586,1.311,1.063,1.983,3.648,5.1,5.596,4.109,2.692,1.877,1.346,2.515,3.506,4.569,5.242
94,69,69.75,39,2.231,1.488,1.027,0.708,1.204,2.161,2.869,3.436,2.054,1.346,0.815,0.567,0.886,1.7,2.09,2.373,1.098,0.531,0.39,0.354,0.531,1.417,1.523,1.558,0.992,0.496,0.354,0.319,0.425,1.24,1.842,1.806,1.169,0.531,0.39,0.319,0.39,0.956,1.913,2.09,1.417,0.744,0.602,0.567,0.602,1.063,2.125,2.479,1.417,0.779,0.602,0.567,0.602,1.027,2.125,2.479,1.629,0.886,0.602,0.531,0.567,1.063,2.09,2.621,2.09,1.169,0.708,0.602,0.638,1.275,2.444,3.152,1.7,0.956,0.496,0.425,0.567,1.523,2.479,2.763,1.877,1.169,0.638,0.567,0.956,1.736,2.479,2.763,2.09,1.311,0.956,0.708,1.24,1.806,2.479,2.869
95,69,70.5,39,1.452,0.992,0.744,0.496,0.673,1.169,1.629,1.948,1.381,0.956,0.567,0.39,0.496,1.027,1.381,1.629,0.638,0.354,0.213,0.213,0.248,0.744,0.992,0.85,0.567,0.248,0.213,0.177,0.213,0.602,1.027,0.992,0.638,0.319,0.248,0.213,0.213,0.425,0.956,1.098,0.708,0.46,0.425,0.39,0.425,0.531,1.027,1.204,0.85,0.531,0.46,0.39,0.39,0.531,0.992,1.275,0.886,0.567,0.425,0.354,0.39,0.531,0.956,1.275,1.063,0.708,0.425,0.39,0.425,0.602,1.133,1.523,0.815,0.496,0.283,0.248,0.319,0.708,1.204,1.346,0.921,0.567,0.354,0.319,0.496,0.85,1.24,1.346,1.133,0.779,0.567,0.425,0.602,0.956,1.381,1.594
96,69,71.25,39,1.629,1.452,1.098,0.708,0.85,1.275,1.558,1.806,1.665,1.417,0.992,0.567,0.673,1.169,1.558,1.7,0.602,0.39,0.283,0.213,0.319,0.886,0.956,0.673,0.531,0.248,0.213,0.177,0.213,0.602,0.815,0.673,0.567,0.213,0.177,0.177,0.177,0.425,0.85,0.85,0.567,0.354,0.354,0.319,0.319,0.39,0.708,0.85,0.638,0.39,0.319,0.283,0.283,0.39,0.673,0.886,0.602,0.39,0.283,0.248,0.283,0.354,0.638,0.85,0.744,0.46,0.283,0.248,0.283,0.425,0.744,1.027,0.46,0.248,0.177,0.177,0.283,0.602,0.886,0.85,0.744,0.531,0.354,0.283,0.425,0.708,0.992,0.992,1.169,0.956,0.708,0.531,0.673,0.992,1.24,1.346
97,69,72,39,1.417,1.381,1.063,0.708,0.815,1.133,1.311,1.452,1.558,1.452,1.063,0.638,0.744,1.169,1.452,1.452,0.673,0.46,0.248,0.213,0.319,0.85,0.956,0.708,0.39,0.248,0.177,0.177,0.213,0.531,0.602,0.46,0.46,0.177,0.177,0.142,0.177,0.39,0.708,0.673,0.46,0.248,0.283,0.248,0.248,0.319,0.496,0.638,0.46,0.283,0.248,0.213,0.213,0.283,0.496,0.602,0.39,0.283,0.177,0.177,0.177,0.248,0.39,0.531,0.531,0.319,0.177,0.177,0.177,0.283,0.496,0.673,0.248,0.142,0.142,0.142,0.213,0.46,0.638,0.496,0.638,0.496,0.354,0.283,0.39,0.602,0.779,0.744,1.098,0.992,0.744,0.531,0.673,0.921,1.098,1.169
98,69,72.75,39,0.886,0.815,0.602,0.425,0.496,0.708,0.815,0.886,1.027,0.921,0.673,0.46,0.531,0.815,0.992,1.027,0.744,0.531,0.213,0.177,0.248,0.673,0.85,0.815,0.354,0.213,0.106,0.106,0.177,0.354,0.425,0.425,0.354,0.177,0.142,0.142,0.142,0.283,0.46,0.496,0.283,0.213,0.213,0.213,0.213,0.248,0.39,0.425,0.283,0.213,0.177,0.177,0.177,0.213,0.354,0.425,0.248,0.213,0.142,0.142,0.142,0.213,0.283,0.354,0.39,0.248,0.142,0.142,0.142,0.248,0.354,0.46,0.248,0.142,0.106,0.142,0.177,0.354,0.425,0.39,0.46,0.354,0.283,0.248,0.319,0.46,0.531,0.531,0.744,0.708,0.531,0.425,0.496,0.638,0.779,0.85
99,69,73.5,39,1.098,0.956,0.673,0.46,0.531,0.886,1.098,1.169,1.204,1.098,0.779,0.46,0.567,0.956,1.204,1.275,0.921,0.673,0.319,0.213,0.354,0.886,1.204,1.098,0.46,0.283,0.142,0.142,0.177,0.425,0.567,0.531,0.39,0.213,0.177,0.142,0.142,0.283,0.531,0.602,0.319,0.213,0.213,0.177,0.177,0.248,0.425,0.496,0.319,0.213,0.177,0.142,0.177,0.248,0.425,0.496,0.319,0.213,0.177,0.142,0.142,0.248,0.425,0.531,0.496,0.283,0.177,0.142,0.142,0.319,0.602,0.708,0.425,0.248,0.177,0.177,0.248,0.46,0.567,0.567,0.531,0.425,0.319,0.283,0.39,0.531,0.602,0.638,0.956,0.85,0.708,0.531,0.602,0.779,0.956,1.098
100,69,74.25,39,2.338,1.877,1.311,0.815,0.921,1.736,2.444,2.692,2.621,2.408,1.558,0.85,0.992,1.842,2.515,2.834,1.877,1.204,0.638,0.425,0.567,1.381,2.231,2.373,0.886,0.496,0.283,0.248,0.319,0.638,1.098,1.169,0.638,0.319,0.213,0.177,0.213,0.39,0.85,1.027,0.567,0.319,0.248,0.213,0.213,0.319,0.708,0.886,0.602,0.283,0.213,0.177,0.177,0.283,0.638,0.886,0.638,0.354,0.213,0.177,0.177,0.354,0.744,1.027,0.886,0.46,0.248,0.177,0.213,0.567,1.133,1.417,1.133,0.673,0.39,0.319,0.496,1.133,1.7,1.665,1.346,0.992,0.708,0.602,0.744,1.169,1.558,1.665,2.444,1.983,1.417,1.063,1.169,1.736,2.302,2.656
